date,price_usd,usd_to_eur,market_sentiment,year,month,day_of_week,is_weekend,price_change,price_change_pct,price_7d_avg,price_30d_avg
2010-01-29,1074.6864343713107,0.8558452405183743,positive,2010,1,4,0,-2.9531934495939822,-0.2740427665569034,1080.6150502453163,
2010-01-30,1073.2779656223445,0.8473186086075823,negative,2010,1,5,1,-1.4084687489662429,-0.13105857708068935,1078.1465957311611,1099.3563513328795
2010-01-31,1070.3194325611973,0.8516663789531184,neutral,2010,1,6,1,-2.9585330611471363,-0.2756539457540841,1076.2660280555658,1098.2825467260843
2010-02-01,1079.630823483742,0.8605995016976238,neutral,2010,2,0,0,9.31139092254466,0.8699637359907753,1076.0973610292806,1097.5404992002357
2010-02-02,1079.6133373600524,0.8380581334858815,positive,2010,2,1,0,-0.017486123689650412,-0.0016196391682488098,1075.8398227069613,1096.688254047247
2010-02-03,1074.3747827152729,0.8398735555855691,neutral,2010,2,2,0,-5.2385546447794695,-0.48522507674730875,1075.648914847832,1095.4058854300315
2010-02-04,1078.5375072757888,0.8306457004028619,negative,2010,2,3,0,4.162724560515926,0.3874555348363229,1075.777183341387,1094.2996331939535
2010-02-05,1072.4832890259338,0.8445084105823623,positive,2010,2,4,0,-6.054218249855012,-0.5613359024617459,1075.4624482920474,1093.0289298423718
2010-02-06,1073.5776070009576,0.8633043234437882,negative,2010,2,5,1,1.0943179750238414,0.10203589988033723,1075.5052542032777,1091.5298349540399
2010-02-07,1063.8292563815587,0.8487941281152653,negative,2010,2,6,1,-9.748350619398934,-0.9080247721104162,1074.5780861776152,1089.5762225902024
2010-02-08,1057.2383261370665,0.8365987510434522,neutral,2010,2,0,0,-6.590930244492256,-0.6195477521374282,1071.379157985233,1087.4794916158712
2010-02-09,1058.272632316412,0.8451432125542495,neutral,2010,2,1,0,1.034306179345549,0.09783093875574966,1068.3304858361414,1085.325144173587
2010-02-10,1062.014965216389,0.8351213829650938,positive,2010,2,2,0,3.7423328999771,0.353626540618901,1066.5647976220152,1083.3711107767706
2010-02-11,1062.921806622339,0.8387481389826884,negative,2010,2,3,0,0.9068414059499901,0.08538875963628456,1064.3339832429508,1081.5232603857478
2010-02-12,1062.3935652103978,0.8538881891026371,neutral,2010,2,4,0,-0.5282414119412806,-0.04969710929347837,1062.8925941264458,1079.6158082357326
2010-02-13,1060.9380467324513,0.8382612667369397,positive,2010,2,5,1,-1.455518477946498,-0.13700369859245276,1061.0869426595164,1077.9770521772289
2010-02-14,1053.5954367806141,0.861126343052033,positive,2010,2,6,1,-7.342609951837176,-0.6920865902067974,1059.62496843081,1076.379362092416
2010-02-15,1050.0462157386407,0.8492887970916966,neutral,2010,2,0,0,-3.5492210419733965,-0.3368675411900446,1058.5975240881778,1074.7554125610775
2010-02-16,1047.7930218838417,0.8508559470394452,negative,2010,2,1,0,-2.253193854799065,-0.21458044617722605,1057.100436883525,1073.223495087968
2010-02-17,1053.1286330149364,0.847216270323921,positive,2010,2,2,0,5.335611131094765,0.5092237703112179,1055.8309608547459,1071.8153900971292
2010-02-18,1054.8967244627786,0.8577284783854372,neutral,2010,2,3,0,1.7680914478421528,0.16788940993659462,1054.6845205462373,1070.6158921671388
2010-02-19,1046.131523685965,0.85783159887777,positive,2010,2,4,0,-8.765200776813572,-0.8309060568253646,1052.3613717570327,1069.357938161477
2010-02-20,1047.801943532939,0.8533505435191217,neutral,2010,2,5,1,1.6704198469740277,0.15967589248131464,1050.4847855856738,1067.9097233558941
2010-02-21,1045.9265321308574,0.8556478910590765,positive,2010,2,6,1,-1.8754114020816814,-0.17898529523224793,1049.3892277785656,1066.4349575536564
2010-02-22,1042.5919221293275,0.8478791033007957,negative,2010,2,0,0,-3.3346100015298816,-0.31881876012230803,1048.3243286915208,1064.836116717253
2010-02-23,1045.700303573532,0.8554220300690905,positive,2010,2,1,0,3.108381444204497,0.29813979738650964,1048.0253689329052,1063.576679960025
2010-02-24,1050.9053011860117,0.8466212222452619,neutral,2010,2,2,0,5.204997612479701,0.4977523287209795,1047.7077501002016,1062.5798069106343
2010-02-25,1055.6117017815927,0.850022316221624,neutral,2010,2,3,0,4.706400595581044,0.44784250210456733,1047.809889717175,1061.7196601161445
2010-02-26,1051.4656141654796,0.847253562506337,neutral,2010,2,4,0,-4.146087616113164,-0.39276635614361455,1048.5719026428199,1060.9114759973545
2010-02-27,1049.9695522862235,0.845427814606808,negative,2010,2,5,1,-1.4960618792561036,-0.14228348118102696,1048.8815610361464,1059.9891401461985
2010-02-28,1051.6758694432413,0.8431088820227821,neutral,2010,2,6,1,1.7063171570177929,0.16251110837475213,1049.7028949379153,1059.222121315263
2010-03-01,1056.603595078853,0.8546769010385888,neutral,2010,3,0,0,4.9277256356117505,0.46855935167748886,1051.7045625021333,1058.6663089638132
2010-03-02,1054.2577238896265,0.8631060591281347,negative,2010,3,1,0,-2.3458711892265,-0.2220199893462782,1052.9270511187183,1058.1309186747608
2010-03-03,1053.3794290063074,0.8617110197166956,neutral,2010,3,2,0,-0.8782948833190858,-0.083309314545843,1053.280497950189,1057.2558721921796
2010-03-04,1047.8977541362774,0.8374343466405456,neutral,2010,3,3,0,-5.4816748700300195,-0.520389398072929,1052.1785054294298,1056.1986860847205
2010-03-05,1041.9667210158739,0.8628920305140687,negative,2010,3,4,0,-5.9310331204035265,-0.5659934947844336,1050.8215206937718,1055.1184173614072
2010-03-06,1046.079350127845,0.8468184149838207,positive,2010,3,5,1,4.112629111971046,0.39469870092985193,1050.2657775282892,1054.036478789809
2010-03-07,1052.910550270699,0.8560073301514559,neutral,2010,3,6,1,6.831200142854186,0.6530288684141627,1050.4421605036403,1053.3840541646346
2010-03-08,1052.6004996627973,0.8409378466795279,positive,2010,3,0,0,-0.31005060790175776,-0.029447003624571977,1049.870289729918,1052.6848172533626
2010-03-09,1057.6681641522575,0.85141979913874,negative,2010,3,1,0,5.067664489460185,0.4814423412380586,1050.3574954817225,1052.4794475123858
2010-03-10,1059.5263442774958,0.8531372318289691,neutral,2010,3,2,0,1.8581801252382775,0.17568649489678734,1051.2356262347494,1052.5557147837333
2010-03-11,1056.35074550447,0.8351539520808035,neutral,2010,3,3,0,-3.1755987730257402,-0.2997187177248728,1052.4431964302055,1052.491651890002
2010-03-12,1058.207723532012,0.8560826716634419,negative,2010,3,4,0,1.8569780275420271,0.17579180356948054,1054.7633396467968,1052.3647438338562
2010-03-13,1065.947906364342,0.8634593500783831,neutral,2010,3,5,1,7.740182832329992,0.7314426704896126,1057.6017048234391,1052.4656138252562
2010-03-14,1065.8187761687923,0.8482535205431837,positive,2010,3,6,1,-0.12913019554980565,-0.012114118783745909,1059.4457370945952,1052.5797875238693
2010-03-15,1073.6919944478623,0.8636016813082801,positive,2010,3,0,0,7.873218279069988,0.7387014054463625,1062.458807778176,1053.004919114383
2010-03-16,1060.6432689274136,0.848103065065476,negative,2010,3,1,0,-13.04872552044867,-1.2153136642467866,1062.8838227460556,1053.2398468526096
2010-03-17,1064.8027814492896,0.8584958453104662,neutral,2010,3,2,0,4.159512521875968,0.39216885108621646,1063.637599484883,1053.731732376298
2010-03-18,1065.2880167904805,0.827814300340489,neutral,2010,3,3,0,0.4852353411909007,0.04557044268145294,1064.9143525257418,1054.314898873186
2010-03-19,1063.8429800381512,0.8741877777931346,negative,2010,3,4,0,-1.4450367523293153,-0.13564751781240947,1065.719389169476,1054.6720437739598
2010-03-20,1064.3517839208287,0.8649545824524295,positive,2010,3,5,1,0.5088038826775119,0.04782697185812257,1065.4913716775457,1054.9872124225615
2010-03-21,1054.4639393478242,0.8471537449574632,positive,2010,3,6,1,-9.887844573004486,-0.9290015502750326,1063.8692521316927,1055.2649596112901
2010-03-22,1053.4155799086366,0.8302791097335618,negative,2010,3,0,0,-1.0483594391876068,-0.09942108023495155,1060.972621483232,1055.4520808238133
2010-03-23,1055.2511427661955,0.8528802836830549,neutral,2010,3,1,0,1.835562857558898,0.17424869088400463,1060.2023177459153,1055.7629011783245
2010-03-24,1062.690612989903,0.8355607445292624,positive,2010,3,2,0,7.439470223707531,0.7049952302544682,1059.9005793945742,1056.4328575403438
2010-03-25,1060.1492618985349,0.8544485353755749,neutral,2010,3,3,0,-2.541351091368142,-0.23914308269064044,1059.1664715528675,1056.9144894845106
2010-03-26,1056.1567938840687,0.8541156571916428,positive,2010,3,4,0,-3.9924680144661124,-0.3765948963937671,1058.0684449594273,1057.0895392411123
2010-03-27,1053.698008666146,0.8405859683099798,neutral,2010,3,5,1,-2.4587852179226957,-0.23280494261466167,1056.5464770659014,1057.0257494705977
2010-03-28,1058.3250192546566,0.8612096702361438,positive,2010,3,6,1,4.6270105885105295,0.43912112867783293,1057.0980599097345,1057.2543963069036
2010-03-29,1060.018774802955,0.8580557470280618,neutral,2010,3,0,0,1.6937555482984408,0.16004115158227972,1058.0413734660656,1057.5893703907946
2010-03-30,1057.4199737841197,0.8597582333728856,negative,2010,3,1,0,-2.5988010188352746,-0.24516556504561304,1058.3512064686263,1057.7808405354906
2010-03-31,1060.0363109496866,0.8500885770366889,positive,2010,3,2,0,2.616337165566847,0.24742649377087478,1057.9720204628811,1057.8952643978516
2010-04-01,1060.5716986964267,0.8358447593308629,negative,2010,4,3,0,0.5353877467400707,0.05050654786158404,1058.0323685768656,1058.105730224745
2010-04-02,1065.4649236490911,0.8597787227221113,positive,2010,4,4,0,4.893224952664468,0.4613761576589992,1059.3621014004402,1058.5085800461711
2010-04-03,1062.0046581797044,0.847296286008642,positive,2010,4,5,1,-3.4602654693867407,-0.3247657799503867,1060.5487656166629,1058.978810180952
2010-04-04,1060.4163474467155,0.8361021985680733,positive,2010,4,6,1,-1.5883107329889299,-0.14955779343861497,1060.847526786957,1059.5937977286467
2010-04-05,1058.5058066810548,0.8635203936597432,neutral,2010,4,0,0,-1.9105407656606985,-0.18016892801218098,1060.6313884838285,1060.008012947087
2010-04-06,1051.2382319403941,0.870994075205025,positive,2010,4,1,0,-7.267574740660621,-0.6865880843344718,1059.7482825061531,1059.9522690027436
2010-04-07,1052.768833325717,0.849587518710208,negative,2010,4,2,0,1.530601385322825,0.14559985917725893,1058.710071417015,1059.9578801248408
2010-04-08,1054.1241096866165,0.8715912115460329,neutral,2010,4,3,0,1.355276360899552,0.12873446838450597,1057.788987272756,1059.8397449759862
2010-04-09,1054.1996769698287,0.8509131472861134,neutral,2010,4,4,0,0.07556728321219452,0.007168727336548386,1056.1796663185758,1059.662189399064
2010-04-10,1053.076741302953,0.8461954409583364,positive,2010,4,5,1,-1.122935666875719,-0.10652020593512335,1054.9042496218972,1059.55305592568
2010-04-11,1046.049887592701,0.8436954154581452,neutral,2010,4,6,1,-7.026853710251999,-0.6672689116234531,1052.8518982141807,1059.1477947277028
2010-04-12,1043.9966609788742,0.8663708240799274,positive,2010,4,0,0,-2.053226613826837,-0.19628381382000848,1050.7791631138691,1058.4160865481874
2010-04-13,1042.3330883962403,0.8421985611861222,negative,2010,4,1,0,-1.663572582633833,-0.15934654245676194,1049.5069997504186,1057.6332302891024
2010-04-14,1038.3717020501322,0.8573526930997498,neutral,2010,4,2,0,-3.9613863461081564,-0.3800499466253382,1047.4502667110494,1056.455887209178
2010-04-15,1037.6152734918023,0.8444083616494079,neutral,2010,4,3,0,-0.7564285583298442,-0.07284757056036373,1045.0918615403616,1055.6882873613242
2010-04-16,1039.685527775875,0.8453969323742564,negative,2010,4,4,0,2.070254284072689,0.19952041348676453,1043.0184116555113,1054.8510455722105
2010-04-17,1049.1664572819275,0.8603024969396956,negative,2010,4,5,1,9.480929506052462,0.9119035759143745,1042.4597996525074,1054.3136602552588
2010-04-18,1050.0893463460868,0.8461996315371064,positive,2010,4,6,1,0.9228890641593352,0.08796402684758675,1043.0368651887054,1053.8552057988566
2010-04-19,1051.4270982997007,0.845952046205797,neutral,2010,4,0,0,1.3377519536138607,0.12739410777460325,1044.0983562345377,1053.424382944819
2010-04-20,1051.1048687208697,0.861328046971748,negative,2010,4,1,0,-0.3222295788309566,-0.030646877881690404,1045.3514677094847,1053.3124139239203
2010-04-21,1041.5610126443746,0.8659739729322162,neutral,2010,4,2,0,-9.543856076495103,-0.9079832432047796,1045.8070835086623,1052.9172616817784
2010-04-22,1041.4784432671286,0.8564468980328424,negative,2010,4,3,0,-0.0825693772460454,-0.00792746428136537,1046.3589649051376,1052.4581716984762
2010-04-23,1041.8295943168337,0.8434523022437604,neutral,2010,4,4,0,0.3511510497050949,0.03371659317341624,1046.6652601252745,1051.762804409374
2010-04-24,1054.19580487926,0.8448939150070242,negative,2010,4,5,1,12.366210562426431,1.1869705592818525,1047.3837383534649,1051.5643558420647
2010-04-25,1053.2840000553545,0.8507991526374004,neutral,2010,4,6,1,-0.9118048239056407,-0.08649292851341528,1047.8401174547887,1051.468596047774
2010-04-26,1054.8417367670224,0.8532093006192566,positive,2010,4,0,0,1.5577367116679852,0.14789332331888172,1048.3279229501206,1051.5067203178035
2010-04-27,1054.7181779184962,0.8401213408986022,neutral,2010,4,1,0,-0.12355884852627241,-0.011713496368181975,1048.8441099783527,1051.3864922732648
2010-04-28,1048.9247877303985,0.8572303793957986,positive,2010,4,2,0,-5.793390188097646,-0.5492832407165915,1049.8960778477847,1051.0166927041796
2010-04-29,1054.6889018029738,0.850855133296396,positive,2010,4,3,0,5.764114072575239,0.5495259660177609,1051.7832862100483,1050.9256569714746
2010-04-30,1058.4985669664077,0.8328429168136187,positive,2010,4,4,0,3.8096651634339196,0.36121221688418803,1054.1645680171305,1050.8743988386987
2010-05-01,1062.5037267016228,0.8407107351753926,neutral,2010,5,5,1,4.005159735215102,0.3783812146948451,1055.3514139917536,1050.9387997722054
2010-05-02,1058.0067894276492,0.8449587132634834,neutral,2010,5,6,1,-4.496937273973572,-0.42323967069118895,1056.026098187796,1050.6901952981573
2010-05-03,1065.0707609823296,0.8492714231115894,positive,2010,5,0,0,7.063971554680393,0.6676678850522144,1057.487387361411,1050.7923987249114
2010-05-04,1058.1115056683682,0.86889278795504,negative,2010,5,1,0,-6.959255313961421,-0.6534077893137202,1057.9721484685358,1050.715570665633
2010-05-05,1061.0957911373696,0.8523817130613962,neutral,2010,5,2,0,2.9842854690014065,0.2820388449624067,1059.7108632409602,1050.8019034808435
2010-05-06,1072.0980692664195,0.8415922811010137,neutral,2010,5,3,0,11.002278129049955,1.0368788775664495,1062.1978871643093,1051.4972313917112
2010-05-07,1067.195387640766,0.8522063080430716,neutral,2010,5,4,0,-4.902681625653486,-0.45729786912200865,1063.4402901177893,1051.9781165355462
2010-05-08,1064.4138989927521,0.8464791225254612,neutral,2010,5,5,1,-2.7814886480139194,-0.26063537007622317,1063.713171873665,1052.3211095124173
2010-05-09,1064.9621558181902,0.8532475823953354,positive,2010,5,6,1,0.5482568254381022,0.05150786042504851,1064.7067956437422,1052.6798588073627
2010-05-10,1062.4947775476094,0.8558056768703561,negative,2010,5,0,0,-2.4673782705808662,-0.2316869437191671,1064.3387980102107,1052.9937933488513
2010-05-11,1054.7914603922786,0.8620923064722393,negative,2010,5,1,0,-7.703317155330751,-0.7250216488697614,1063.8645058279121,1053.2851791088372
2010-05-12,1055.1842752663088,0.8497571350432997,negative,2010,5,2,0,0.3928148740301367,0.037240998697885,1063.0200035606179,1053.658099585085
2010-05-13,1049.9227566976783,0.8663896052759983,negative,2010,5,3,0,-5.261518568630436,-0.49863504337216424,1059.8521017650835,1053.911088528466
2010-05-14,1052.3407188508543,0.8590802266253619,positive,2010,5,4,0,2.4179621531759494,0.2302990517875081,1057.7300062236675,1054.3767224218236
2010-05-15,1047.7935976796853,0.8429256045518781,neutral,2010,5,5,1,-4.54712117116901,-0.4320959067453334,1055.355677464658,1054.715999894753
2010-05-16,1055.5932697047729,0.8720985566574846,neutral,2010,5,6,1,7.799672025087602,0.7443901205695269,1054.017265162741,1055.2462579590497
2010-05-17,1051.7270032430918,0.8532699451327009,positive,2010,5,0,0,-3.866266461681107,-0.36626478897145986,1052.4790116906672,1055.3316094910886
2010-05-18,1050.1666956620634,0.8416487549602776,neutral,2010,5,1,0,-1.5603075810283826,-0.14835671007942253,1051.818331014922,1055.334187801621
2010-05-19,1054.2842817489118,0.8665291305123042,positive,2010,5,2,0,4.117586086848405,0.39208880874408436,1051.6897605124368,1055.429427249928
2010-05-20,1048.179960166742,0.8707777758519845,negative,2010,5,3,0,-6.1043215821698595,-0.5790014788083164,1051.440789579446,1055.3319302981238
2010-05-21,1049.3672598397625,0.8496697473628043,positive,2010,5,4,0,1.1872996730205614,0.11327250263701849,1051.0160097207186,1055.5921385379702
2010-05-22,1055.9529736111747,0.844963497396244,neutral,2010,5,5,1,6.585713771412202,0.6275890265928341,1052.1816348537884,1056.0746228827716
2010-05-23,1047.9655574383685,0.8482762504254634,neutral,2010,5,6,1,-7.987416172806206,-0.7564177924979543,1051.0919616728736,1056.2791549868227
2010-05-24,1048.93872673103,0.857147317275177,neutral,2010,5,0,0,0.9731692926616233,0.09286271726720585,1050.6936364568646,1056.1039190485485
2010-05-25,1050.2881407022721,0.8627785665503052,negative,2010,5,1,0,1.3494139712420292,0.12864564314900573,1050.710985748323,1056.0040570701124
2010-05-26,1054.2472550611587,0.8557048733086358,positive,2010,5,2,0,3.959114358886609,0.37695506646768795,1050.7056962215013,1055.9842410132503
2010-05-27,1048.1125015067682,0.8510172320847177,positive,2010,5,3,0,-6.1347535543905,-0.5819084209078285,1050.6960592700764,1055.764051799526
2010-05-28,1041.560218441347,0.8649801177030443,neutral,2010,5,4,0,-6.552283065421307,-0.6251507405933721,1049.5807676417314,1055.5185661565577
2010-05-29,1044.2199262694314,0.8468716352694847,positive,2010,5,5,1,2.6597078280844926,0.2553580466105654,1047.9046180214823,1055.1696003054394
2010-05-30,1045.7548496355973,0.8603091933836691,neutral,2010,5,6,1,1.5349233661659127,0.14699234591792898,1047.5888026210864,1054.7448097277459
2010-05-31,1047.0573138873267,0.8471193720164872,positive,2010,5,0,0,1.3024642517293614,0.12454776109174226,1047.3200293577004,1054.2299293006026
2010-06-01,1048.8395549348115,0.8543102295801089,negative,2010,6,1,0,1.7822410474848311,0.17021427803871614,1047.1130885337773,1053.924354817508
2010-06-02,1045.4894313269192,0.8488643743520955,negative,2010,6,2,0,-3.3501236078923284,-0.3194124012705246,1045.8619708574574,1053.2716438289945
2010-06-03,1046.7006998127242,0.8494414781734718,positive,2010,6,3,0,1.2112684858050216,0.11585659782975544,1045.6602849011654,1052.891283633806
2010-06-04,1048.2160621792175,0.8462261348253779,negative,2010,6,4,0,1.5153623664932638,0.14477513646111717,1046.611119720861,1052.461959335201
2010-06-05,1044.6943050890857,0.863448540311807,negative,2010,6,5,1,-3.521757090131814,-0.33597625691884625,1046.678888123669,1051.5485005292899
2010-06-06,1054.0731776448094,0.8426707396189146,negative,2010,6,6,1,9.378872555723774,0.8977623894411924,1047.8672206964134,1051.1110935294248
2010-06-07,1056.4923422493684,0.8425976774745129,neutral,2010,6,0,0,2.4191646045590005,0.22950632421596673,1049.2150818909909,1050.8470416379787
2010-06-08,1050.5858247633553,0.8712099356584511,positive,2010,6,1,0,-5.906517486013172,-0.5590686510266285,1049.4645490093542,1050.3678306028175
2010-06-09,1053.9185928065244,0.8597784756465433,positive,2010,6,2,0,3.3327680431691533,0.31722948897772163,1050.668714935012,1050.0819577781147
2010-06-10,1049.0951844553879,0.8261488630130696,neutral,2010,6,3,0,-4.82340835113655,-0.45766422416859687,1051.0107841696783,1049.8920819135517
2010-06-11,1053.0806074741001,0.8443474126078959,neutral,2010,6,4,0,3.985423018712254,0.37989146054284717,1051.7057192118045,1049.8219596538113
2010-06-12,1058.923585369137,0.8318801066243794,negative,2010,6,5,1,5.842977895036938,0.5548462153388112,1053.738473537526,1050.1219872761933
2010-06-13,1054.8701737773786,0.8404930930658474,positive,2010,6,6,1,-4.053411591758504,-0.3827860336443001,1053.852330127893,1050.2063024404108
2010-06-14,1059.7370544236,0.8186148533376596,neutral,2010,6,0,0,4.866880646221489,0.4613724766521443,1054.3158604384976,1050.6044176652078
2010-06-15,1061.8509590582826,0.8486301042230605,negative,2010,6,1,0,2.1139046346825126,0.19947444753947163,1055.925165337773,1050.813007310325
2010-06-16,1066.011259858255,0.8385805818083869,positive,2010,6,2,0,4.160300799972447,0.3917970563083628,1057.652689202306,1051.2891491974972
2010-06-17,1075.5452247715248,0.8505990525679643,negative,2010,6,3,0,9.533964913269756,0.8943587438783318,1061.4312663903254,1052.1351001678124
2010-06-19,1070.649603369723,0.8508291185317204,negative,2010,6,5,1,-4.895621401801691,-0.45517578331879527,1063.941122946843,1052.6806108885062
2010-06-20,1066.2520312215954,0.8458508372187967,positive,2010,6,6,1,-4.397572148127665,-0.41073868932346436,1064.9880437829086,1053.2830132570011
2010-06-21,1062.2229797967682,0.8650195296518859,positive,2010,6,0,0,-4.02905142482723,-0.3778704571574143,1066.0384446428213,1053.7115372555681
2010-06-22,1061.8874712496977,0.8641135686174563,positive,2010,6,1,0,-0.3355085470705035,-0.031585510147280615,1066.3456470465496,1053.9093538435188
2010-06-23,1063.6432311237809,0.8578534560301028,positive,2010,6,2,0,1.7557598740831963,0.16534330817716825,1066.6016859130493,1054.431942966366
2010-06-24,1065.076685120431,0.8467338621933879,negative,2010,6,3,0,1.433453996650087,0.13476830902554582,1066.4681752362171,1054.9698749126794
2010-06-25,1069.262601365611,0.8698538039526029,neutral,2010,6,4,0,4.185916245180124,0.3930154798860164,1065.570657606801,1055.6023569347906
2010-06-26,1069.3776108250006,0.8344696472216018,positive,2010,6,5,1,0.1150094593895119,0.010755960158204125,1065.3889443861265,1056.1067021269187
2010-06-27,1076.6952812107872,0.8359644137043634,positive,2010,6,6,1,7.317670385786641,0.6842924624297364,1066.8808372417254,1057.059461450386
2010-06-28,1075.4219970445974,0.8491621690011093,positive,2010,6,0,0,-1.2732841661897965,-0.11825854430772553,1068.7664111342724,1058.1881874038277
2010-06-29,1089.0728428775456,0.8725403810892112,positive,2010,6,1,0,13.650845832948107,1.2693478346604836,1072.6500356525362,1059.6832846240982
2010-06-30,1092.2511796163706,0.8479766109312991,negative,2010,6,2,0,3.17833673882501,0.29183876538756426,1076.7368854371919,1061.233162290124
2010-07-01,1088.0153918342892,0.8481675475679071,neutral,2010,7,3,0,-4.235787782081388,-0.3878034522763474,1080.0138435391716,1062.5984315550227
2010-07-02,1082.7109293439835,0.8355808964388819,neutral,2010,7,4,0,-5.304462490305696,-0.487535611179446,1081.9350332503677,1063.7274773686618
2010-07-03,10851.732914201995,0.8594592958527038,neutral,2010,7,5,1,9769.021984858013,902.2742562298766,2479.414362304224,1390.6022601311643
2010-07-04,1084.1059774935702,0.8595317625432936,negative,2010,7,6,1,-9767.626936708424,-90.0098354238449,2480.4730332017643,1391.8491027205257
2010-07-05,1087.7259799640308,0.8578907520139991,neutral,2010,7,0,0,3.6200024704605767,0.33391592202358655,2482.2307450473977,1393.1660999800195
2010-07-06,1090.1421680868984,0.8437077932715263,negative,2010,7,1,0,2.416188122867652,0.22213205967072103,2482.383505791591,1394.6810287466135
2010-07-07,1089.828023523614,0.8429329323162699,negative,2010,7,2,0,-0.31414456328434426,-0.028816843571477513,2482.0373406354834,1395.8728569425734
2010-07-08,1085.644054933272,0.8370687774959503,positive,2010,7,3,0,-4.183968590342147,-0.3839109015397302,2481.698578221052,1396.8445806987036
2010-07-09,1078.1198188098426,0.8508387250176093,negative,2010,7,4,0,-7.5242361234293185,-0.6930665800856661,2481.0427052876034,1397.7623805002534
2010-07-10,1075.9372440495076,0.839195926707215,neutral,2010,7,5,1,-2.182574760335001,-0.20244268978789615,1084.5004666943908,1398.496335541686
2010-07-11,1080.269238021125,0.8382258349475071,neutral,2010,7,6,1,4.331993971617294,0.4026251526820346,1083.95236105547,1399.5354706605438
2010-07-12,1081.389706741776,0.8457630928308932,neutral,2010,7,0,0,1.1204687206511608,0.10372124663140525,1083.0471791665766,1400.4791073027995
2010-07-13,1075.2110128482161,0.8451084382481578,positive,2010,7,1,0,-6.1786938935599665,-0.5713660722901026,1080.914156989622,1401.0220215521024
